Map,Total,Group A,Group B,Group D,Group C,Knockouts
Ascent,22,2,2,3,3,12
Bind,17,3,3,2,2,7
Breeze,12,1,2,2,1,6
Fracture,12,0,4,2,2,4
Haven,18,4,2,3,2,7
Icebox,14,2,0,1,4,7
Pearl,11,3,2,2,1,3
